alpha,alpha_prime,beta,T,error_alpha,error_beta,GoF_alpha,GoF_beta
0.0013875186890088085,0.0007375222708315817,0.25619031020210964,69,0.001401668707865844,1.4120531034042538e-05,0.9629527729658767,0.9998446741586255
0.0199109595241483,0.007070275943628928,0.02392857713088436,nan,-0.0010492565232741446,-4.5677654264962564e-05,0.9972606435705659,0.9990864469147007
5.3324890344974525e-05,5.593015581574534e-09,0.009097100717308333,nan,3.622857321916584e-06,0.0009668165582136651,0.988756649690596,0.9893650178596497
0.0005063535912195639,5.427602538505392e-10,0.026297332959074497,nan,0.004249507627977822,0.010967396105459493,0.6461992502394622,0.965531040811413
0.0031189726714479374,3.3146399321901792e-06,0.038850848063326796,nan,0.0027078749363145804,0.0010048021230982807,0.9716668916659487,0.9977894353291837
0.0004139266845821474,3.6734644350881638e-06,0.35196769893168917,nan,-0.0005717558674604994,-0.004680050430304616,0.9627345559420969,0.9914199075444415
0.0021792022768760033,6.599351099611607e-05,0.36932728227805484,nan,-0.001777232722901645,-0.003955670233718345,0.9774874885971077,0.9927479379048497
0.00029271307258856813,4.429665848529819e-07,0.13853493894281582,nan,6.662243193567008e-05,0.003757044592895359,0.9849174216590081,0.9834690037912605
0.001340147466778421,0.0054576157756836205,0.2967702740934847,nan,-0.0037411990027039765,-0.000232172247012441,0.9846978944172042,0.9991487017609544
0.0021386030684355114,1.8806378144371016e-05,0.31339448847372775,nan,0.0003239975797562078,0.0024242544330563276,0.9944272416281932,0.9940740447191957
4.27690620948562e-06,8.07959886447399e-05,0.19503070308253093,nan,1.4672967543205573e-06,-0.0018280283697090227,0.9996008952828248,0.9942547679809145
0.0008505942543406139,1.5286158429175973e-05,0.6915804371673862,nan,0.0009058640819198105,-0.0016262484816083056,0.9778155735040047,0.9978954431414481
0.00010652132893018407,1.3497030250060586e-05,1.3239024664656156,nan,-9.273007343568729e-05,-0.004470921807160466,0.9816352333347376,0.9938524825151543
